car_name,car_price_in_rupees,,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],₹ 4.45 ,,"22,402 km",Petrol,Mumbai,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.93 ,,"10,344 km",Petrol,Kolkata,2019
Tata Safari XZ Plus New,₹ 22.49 ,,"12,999 km",Diesel,Bangalore,2021
Maruti Suzuki Ciaz ZXI+,₹ 6.95 ,,"45,000 km",Petrol,Thane,2016
Jeep Compass Sport Plus 1.4 Petrol [2019-2020],₹ 12 ,,"11,193 km",Petrol,Kolkata,2019
Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],₹ 3.72 ,,"42,906 km",Petrol,Chennai,2017
Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.5 ,,"66,602 km",Diesel,Mumbai,2017
Maruti Suzuki Ertiga VXi AT,₹ 10.39 ,,"13,189 km",Petrol,Bangalore,2019
Toyota Etios Liva G,₹ 3.75 ,,"67,815 km",Petrol,Mumbai,2013
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.25 ,,"19,509 km",Petrol,Mumbai,2018
Maruti Suzuki Ciaz VDi+ SHVS,₹ 6.75 ,,"60,000 km",Diesel,Ahmedabad,2017
Maruti Suzuki Alto 800 LXi (O),₹ 4.49 ,,"3,583 km",Petrol,Bangalore,2019
Chevrolet Optra Magnum LS 2.0 TCDi,₹ 3 ,,"1,48,000 km",Diesel + 1,Pallikarnai,2007
Maruti Suzuki Vitara Brezza VDi,₹ 9.5 ,,"48,748 km",Diesel,Hyderabad,2019
Jeep Compass Longitude 2.0 Diesel [2017-2020],₹ 13.25 ,,"38,000 km",Diesel,Thane,2018
Toyota Corolla Altis VL AT Petrol,₹ 9.25 ,,"36,000 km",Petrol,Kolkata,2016
Hyundai Elite i20 Magna Executive 1.2,₹ 6.75 ,,"13,747 km",Petrol,Ahmedabad,2017
Mercedes-Benz EQC 400 4MATIC,₹ 95 ,,"3,200 km",Electric,Pune,2022
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 8.71 ,,"12,795 km",Petrol,Chennai,2018
Hyundai i10 Magna 1.2 Kappa2,₹ 3.35 ,,"41,273 km",Petrol,Mumbai,2014
Hyundai Creta 1.6 SX Plus Petrol Special Edition,₹ 9.88 ,,"20,142 km",Petrol,Pune,2016
Porsche 718 Boxster,₹ 1.15 Crore,,"6,500 km",Petrol,Pune,2020
Kia Seltos HTE 1.5 Diesel,₹ 11 ,,"47,103 km",Diesel,Thane,2019
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 9.9 ,,"7,755 km",Petrol,Mumbai,2020
Renault Kwid 1.0 RXL [2017-2019],₹ 3.45 ,,"33,513 km",Petrol,Gurgaon,2019
BMW 3 Series 320d Luxury Line,₹ 37.49 ,,"24,848 km",Diesel,Kolkata,2019
Maruti Suzuki Baleno Alpha 1.2,₹ 6.39 ,,"34,559 km",Petrol,Delhi,2017
Hyundai i20 Sportz 1.2 IVT,₹ 8.9 ,,"4,000 km",Petrol,Ahmedabad,2022
Ford EcoSport Titanium 1.5L Ti-VCT,₹ 6.59 ,,"54,544 km",Petrol,Kolkata,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.92 ,,"42,247 km",Petrol,Kolkata,2018
Honda Jazz VX Diesel,₹ 8 ,,"1,00,000 km",Diesel,Hyderabad,2018
